Date,Close
5/1/1995,533.4
6/1/1995,544.75
7/3/1995,562.06
8/1/1995,561.88
9/1/1995,584.41
10/2/1995,581.5
11/1/1995,605.37
12/1/1995,615.93
1/2/1996,636.02
2/1/1996,640.43
3/1/1996,645.5
4/1/1996,654.17
5/1/1996,669.12
6/3/1996,670.63
7/1/1996,639.95
8/1/1996,651.99
9/3/1996,687.31
10/1/1996,705.27
11/1/1996,757.02
12/2/1996,740.74
1/2/1997,786.16
2/3/1997,790.82
3/3/1997,757.12
4/1/1997,801.34
5/1/1997,848.28
6/2/1997,885.14
7/1/1997,954.29
8/1/1997,899.47
9/2/1997,947.28
10/1/1997,914.62
11/3/1997,955.4
12/1/1997,970.43
1/2/1998,980.28
2/2/1998,1049.34
3/2/1998,1101.75
4/1/1998,1111.75
5/1/1998,1090.82
6/1/1998,1133.84
7/1/1998,1120.67
8/3/1998,957.28
9/1/1998,1017.01
10/1/1998,1098.67
11/2/1998,1163.63
12/1/1998,1229.23
1/4/1999,1279.64
2/1/1999,1238.33
3/1/1999,1286.37
4/1/1999,1335.18
5/3/1999,1301.84
6/1/1999,1372.71
7/1/1999,1328.72
8/2/1999,1320.41
9/1/1999,1282.71
10/1/1999,1362.93
11/1/1999,1388.91
12/1/1999,1469.25
1/3/2000,1394.46
2/1/2000,1366.42
3/1/2000,1498.58
4/3/2000,1452.43
5/1/2000,1420.6
6/1/2000,1454.6
7/3/2000,1430.83
8/1/2000,1517.68
9/1/2000,1436.51
10/2/2000,1429.4
11/1/2000,1314.95
12/1/2000,1320.28
1/2/2001,1366.01
2/1/2001,1239.94
3/1/2001,1160.33
4/2/2001,1249.46
5/1/2001,1255.82
6/1/2001,1224.42
7/2/2001,1211.23
8/1/2001,1133.58
9/4/2001,1040.94
10/1/2001,1059.01
11/1/2001,1139.45
12/3/2001,1148.08
1/2/2002,1130.2
2/1/2002,1106.73
3/1/2002,1147.39
4/1/2002,1076.64
5/1/2002,1067.14
6/3/2002,989.81
7/1/2002,911.62
8/1/2002,916.07
9/3/2002,815.29
10/1/2002,885.77
11/1/2002,936.31
12/2/2002,879.82
1/2/2003,855.7
2/3/2003,841.15
3/3/2003,848.18
4/1/2003,916.92
5/1/2003,963.59
6/2/2003,974.51
7/1/2003,990.31
8/1/2003,1008.01
